0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.07265098,0.07265098,0.016778411,0.016778411,0.016778411,0.016778411,0.08154068,0.14247468,-0.09394681,-0.32749528,-0.112229675,0.024303703,-0.017538983,0.016778411,0.005888826,0.016778411,,-0.10706749,-0.13090213,-1.1823807,-0.06024692,0.014835858,-0.1139269,-0.06796019,-0.06796019,-0.027672239,0.016778411,-0.28773957,0.0,-0.08307677,-0.28773957,0.016778411,0.0815407,0.02441393,0.07642877,0.017474947,0.057375606,0.007745908,-0.28773957,0.05785058,0.0815407,0.0815407,-0.027672237,0.0,0.0
0.06020436,0.048895266,0.0063258014,0.0,0.0063258014,0.0,-0.046502076,0.0792332,-0.0045152567,0.061831433,-0.09894124,0.008908342,0.0017773232,0.0063258014,0.003846734,0.0063258014,,0.0628882,-0.07191131,-0.18326138,-0.1006309,0.005671303,-0.10293312,-0.13526866,-0.13526866,-0.07191131,0.0063258014,-0.17781469,0.0,-0.13273883,-0.13551907,0.0063258014,-0.3269197,-0.07191132,-0.13396406,0.0006037375,-0.0029223894,0.0041668043,-0.046502076,-0.0032863969,-0.051917974,0.07597589,0.0,-0.07191132,-0.07191132
0.14113963,0.0997807,0.016554838,0.0,0.016554838,0.0,0.016554838,0.19970948,-0.23359877,-0.1532711,0.20029266,0.0080002,-0.1549022,0.016554838,0.017750362,0.016554838,,-0.0594622,0.2209531,0.40217814,-0.25655934,0.017646944,0.18784966,0.2209531,0.2209531,-0.15602611,-0.18472828,,,,0.0047463845,-0.18472828,0.016554836,0.0,0.0,-0.017116953,,0.0084059015,0.016554836,0.0,0.0,-0.017116953,0.0,-0.15602611,-0.15602611
0.0807104,0.062414173,-0.03418022,0.0,0.0,-0.03418022,-0.03418022,0.13065708,0.08267569,0.046528533,-0.019206222,0.03564519,-0.17120288,-0.03418022,0.00565627,0.0,,0.18651927,-0.012833183,0.35961488,-0.105574444,0.0035139523,-0.012833183,-0.06164148,-0.06164148,0.70107603,-0.03418022,-0.2588064,0.0,-0.022639116,-0.049799025,-0.03418022,-0.061641492,0.03573621,0.017499957,0.03693044,0.0360888,0.0074646394,-0.2588064,0.033833243,-0.061641492,0.017499957,0.70107603,0.0,0.0
0.11511597,0.11783505,-0.03846447,0.0,-0.03846447,0.0,0.09187359,0.12539753,0.03137895,0.12977839,0.09831084,0.049318932,0.035298478,-0.03846447,0.006434418,-0.03846447,,-0.69436556,-0.062614925,-0.8498476,-0.045746498,-0.04694419,-0.06158664,0.10598719,-0.062614925,0.037604775,-0.03846447,-0.110115096,0.0,0.09187359,-0.054257803,-0.03846447,-0.031323932,0.0,0.0,0.03637325,0.03765816,0.008516832,-0.031323932,0.0,0.0,0.03637325,0.0,0.03760477,0.03760477
0.05069251,0.024936013,0.012725869,0.0,0.0,0.012725869,-0.24815518,0.08638212,0.25209105,-0.5499386,-0.06697796,0.06692178,0.017502058,0.012725869,0.016789908,0.012725869,,0.40189564,-0.004052617,0.8182041,-0.0022906244,0.016310798,-0.23326036,0.08510135,0.08510135,0.08510135,0.012725869,0.1542944,0.0,0.0944971,-0.24815518,0.012725869,-0.4910162,0.024936017,-0.004052619,0.07820968,0.08194869,0.012725871,-0.14187789,0.08132573,-0.4910162,-0.228139,0.08510135,0.0,0.0
-0.011946511,7.2434625e-05,0.010039497,0.0,0.010039497,0.0,-0.06541628,0.049004614,0.32730073,-0.26807693,-0.012187676,-0.05352852,-0.041316483,0.010039497,0.004782153,0.010039497,,0.39277577,0.008083505,-0.0006311131,-0.067012936,0.0051333145,0.06753754,0.038439855,0.008588214,0.021850051,0.010039497,-0.06541628,0.0,0.22282813,-0.15009268,0.010039497,-0.09146084,0.03843985,-0.41998547,0.054131076,-0.011946511,0.0044335476,-0.41998547,0.03843985,-0.41998547,0.054131076,0.0,0.06098398,0.06098398
0.05504819,0.049762744,0.008378416,0.0,0.008378416,0.0,0.008378416,0.0683809,-0.10021012,-0.07713696,-0.03272403,0.04948682,0.0065320474,0.008378416,0.0056108627,0.008378416,,0.12837152,-0.042370263,0.042176012,-0.35643592,0.007414087,0.004644029,-0.094896324,0.016823407,-0.050478593,0.008378416,-0.26522535,0.008378416,-0.12852989,0.007368855,0.008378416,-0.26522535,0.052888423,-0.028979385,0.088034615,-0.16526142,0.0043906895,-0.26522535,0.049560077,-0.09489634,0.0844815,0.0,-0.050478607,-0.050478607
0.10191834,0.09917714,0.031091368,0.0,0.0,0.031091368,-0.20103909,0.13491632,-0.09100502,-0.06477408,0.12607639,0.045321483,-0.289406,0.031091368,0.011155528,0.031091368,,-0.149819,-0.05668916,-0.9931739,-0.03822896,0.0222412,-0.086055815,0.08136274,0.08136274,0.01322796,0.031091368,-0.4895904,0.0,-0.082042985,-0.30069903,0.031091368,0.056138095,0.07122169,-0.056689173,0.036408253,0.025552528,-0.20103908,-0.30636966,0.06650084,0.056138095,0.056138095,0.013227961,0.0,0.0
0.1070324,0.11066465,0.008179861,0.0,0.0,0.008179861,-0.19265822,0.0024148768,-0.08098603,-0.14145704,0.087342545,0.09791243,-0.06640025,0.008179861,0.008043665,0.008179861,,0.2045639,0.06743709,-0.25808895,-0.028402109,0.007884183,-0.1545986,-0.029643431,-0.1121303,-0.1545986,0.008179861,-0.19265822,0.0,0.11313844,0.107906885,0.008179861,-0.19265822,0.047261905,-0.06647717,0.026793243,0.12832864,-0.025852542,-0.10724248,0.10102872,-0.19265822,-0.19265822,-0.1545986,0.0,0.0
0.059475735,0.012960265,-0.031462055,0.0,-0.031462055,0.0,-0.031462055,0.1645795,0.0062021213,0.048935935,0.20593376,0.16893315,0.0019132899,0.0,0.00199425,0.0,,-0.93261933,0.012363011,-0.58830476,-0.022417014,-0.029180264,0.1800325,-0.04130798,-0.06407671,-0.170987,-0.031462055,,,,-0.3715827,-0.3715827,-0.031462055,0.0,-0.17098698,0.011425227,,-0.00030716998,-0.031462055,0.0,-0.17098698,0.011425227,0.0,0.6541928,0.6541928
0.11705433,0.13131435,0.0067602,0.0,0.0,0.0067602,0.4174332,0.1007878,-0.35242167,-0.1031499,0.016472677,0.031637635,-0.19548328,0.0067602,0.010259101,0.0067602,,-0.18003148,0.010812298,-0.88924617,0.010005169,0.008179173,-0.0505614,-0.10346361,-0.10346361,-0.09758941,0.0067602,-0.1524352,0.0,-0.05846231,-0.17912133,0.0067602,-0.1524352,0.07577009,0.010812298,0.045678236,0.034263693,-0.011102642,-0.17266946,0.038510744,-0.1524352,-0.17378387,-0.09758942,0.0,0.0
